Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Full, Non-Resident, Community Groups/Individuals",115,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"swim team, city swim team, novice swim team, sharks, youth swimming, youth swim team","Community Aquatics
 - Shark Swim Team
 - Non-Residents",163,,per session,,,,Non-Residents,"A $5.00 material fee will be assessed. 
",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Virginia Avenue Park, VAP, Senior Recreation Center","Facility Filming Rental - Non-Profit/Student Motion/Still, Virginia Avenue Park, Meeting Rm",51.7,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Other, Commercial, Demolition, Demo","Single Trade Permits, All others (Commercial, Demolition, etc.) - Businesses are not subsidized",362.78,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting room, Facility, Reservation, Swimming, Filming, Still photography","Santa Monica Swim Center - Rental Charges, Filming Fees, Still, Deck Only Rate",125,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting room, Facility, Reservation, Swimming, Tournament, Swim Meet","Santa Monica Swim Center - Rental Charges, Tournaments - Fitness Pool Only, Non SM Based Non-Profit Adult Aquatics Group/ 2,000 hours annually",468,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, 1450 Ocean, Small  (18 - 55)",26,,,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Quarterly Pass
 - Non-Residents, Adult",38.5,,,,,,"Non-Residents, Adult",Quarterly pass valid 91 days from date of purchase. A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Additional","Single Trade Permits, Additional Inspections - for Single Trade Permits - each",139.16,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Full, Residents, Community Groups/Individuals",80,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Sports/Adaptive Recreation/Special Olympics,"Westside Special Olympics, Social Club, Adaptive Recreation, Programs for the disabled",Santa Monica Adaptive Recreation and Sports Social Programs,,actual cost of activity,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">NOTECCP1</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Non-Profit Youth Aquatics Program, Non-Santa Monica Based, Long Course ",20,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Reservation, Field Rental, Filming, Still Photography, Sports Field Rental, Field Rental Fee, Marine Park, Clover Park, Airport Park, Memorial Park, Los Amigos Park","Facility Filming Rental - Motion/Still, Various Parks, Ballfield  No lights",103.4,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"Lifeguard training, Lifeguard certification class, lifeguard class, lifeguard","Community Aquatics
 - Specialty Classes
 - Lifeguard Training
 - Residents",105,,,,,,Residents,"A $35.00 material fee will be assessed. 
",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, youth Field rental, Sports fields, Youth Group rental, Soccer Field, Football field, Marine Park, Clover Park, Memorial Park, Los Amigos Park, John Adams Middle School, Lincoln Middle School, Airport Park, Santa Monica High School, Field rental fees, ","Sports Facilities Rental - Field Rental, Residents, Youth Groups, High Intensity (soccer, football, rugby, field hockey, lacrosse)",3,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Modification,,Changes to the Zoning Ordinance or Zoning Ordinance Districting Map,Text Amendment/Zone Change,14151,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Memorial Park","Facility Filming Rental - Motion, Memorial Park, CAB 2/3",517,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"Jr. Lifeguard, Junior Lifeguard, Swim instructors assistants","Community Aquatics
 - Specialty Classes
 - Junior Lifeguard Program
 - Non-Residents",115,,,,,,Non-Residents,"A $35.00 material fee will be assessed. 
",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Gymnasium, Basketball/Volleyball, Indoor Sports","Facility Filming Rental - Motion, Memorial Park, Full Gymnasium",1654,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches, Filming","Facility Filming Rental - Still, Various Parks, Tennis Court",258,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Tennis,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches","Tennis Court Reservation Rate
 - Non-Residents Hourly",4,,"per person, per hour, per court",,,,Non-Residents,Tennis Court Reservation Rate: City park and Santa Monica High School Courts when used by the City pursuant to agreements with the Santa Monica-Malibu Unified School District are reserved.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, rec swim, lap swim",Community Aquatics - Recreational and Fitness Swim - Daily Use - Residents -  Adult ,3.5,,per day,,,,Residents - Adults,"Adults (18 years  59 years). 
 ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Formal, Plan, Check, First, Review, Not, Started",Refunds: Formal Plan Check: First Review Not Started (within 3 Work Days of Submittal),,80% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Deferred, Submittal, Submittals","Miscellaneous Plan Check Fees, Deferred Submittals",1017.6,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Residential, Remodel","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Residential Remodel and Additions- main & accessory bldgs (1,000 sq ft)",494.98,,,1.3297,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Tennis,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches","Tennis Court Reservation Rate
 - Residents Quarterly Passes, Adult",60,,quarterly,,,,Residents-Adult,"Adults (18 years - 59 years). Quarterly passes are valid for 91 days from the date of Purchase. 
Tennis Court Reservation Rate: City park and Santa Monica High School Courts when used by the City pursuant to agreements with the Santa Monica-Malibu Unified School District are reserved.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
